3
999
999
4.310307e-02
10 01
T T
2.155153e-02 2.155153e-02 1.000000 0.975682 0.412877
9.573341e-01 2.155153e-02 2.155153e-02 1.000000 0.526961 0.231618
4.390183e-01 2.155153e-02 2.155153e-02 1.000000 0.650974 0.460914
5.067425e-01 2.155153e-02 2.155153e-02 1.000000 0.402113 0.359572
8.190886e-02 2.155153e-02 2.155153e-02 1.000000 0.022363 0.276224
1.674153e-01 2.155153e-02 2.155153e-02 1.000000 0.626206 0.748287
8.353371e-01 2.155153e-02 2.155153e-02 1.000000 0.797976 0.132455
3.715742e-02 2.155153e-02 2.155153e-02 1.000000 0.165289 0.231533
8.324067e-01 2.155153e-02 2.155153e-02 1.000000 0.768205 0.524299
9.727790e-01 2.155153e-02 2.155153e-02 1.000000 0.642594 0.763430
2.289684e-01 2.155153e-02 2.155153e-02 1.000000 0.853004 0.033745
4.184977e-01 2.155153e-02 2.155153e-02 1.000000 0.341063 0.337275
7.825068e-01 2.155153e-02 2.155153e-02 1.000000 0.126202 0.965577
2.634923e-01 2.155153e-02 2.155153e-02 1.000000 0.406955 0.793137
7.763054e-01 2.155153e-02 2.155153e-02 1.000000 0.701534 0.594496
6.936587e-01 2.155153e-02 2.155153e-02 1.000000 0.675422 0.024617
8.441765e-01 2.155153e-02 2.155153e-02 1.000000 0.441979 0.966141
3.505693e-01 2.155153e-02 2.155153e-02 1.000000 0.914322 0.224684
8.512818e-01 2.155153e-02 2.155153e-02 1.000000 0.080227 0.486847
4.171201e-01 2.155153e-02 2.155153e-02 1.000000 0.658546 0.626526
5.038733e-02 2.155153e-02 2.155153e-02 1.000000 0.959428 0.360557
6.264051e-02 2.155153e-02 2.155153e-02 1.000000 0.921375 0.499808
5.726746e-03 2.155153e-02 2.155153e-02 1.000000 0.661996 0.902115
6.028813e-01 2.155153e-02 2.155153e-02 1.000000 0.889395 0.266600
2.702690e-01 2.155153e-02 2.155153e-02 1.000000 0.073834 0.880706
4.518239e-01 2.155153e-02 2.155153e-02 1.000000 0.789831 0.611449
7.059367e-01 2.155153e-02 2.155153e-02 1.000000 0.706118 0.220915
5.369750e-01 2.155153e-02 2.155153e-02 1.000000 0.251769 0.348044
8.820630e-01 2.155153e-02 2.155153e-02 1.000000 0.848976 0.214449
5.721467e-01 2.155153e-02 2.155153e-02 1.000000 0.200589 0.814239
2.139948e-01 2.155153e-02 2.155153e-02 1.000000 0.525067 0.895713
9.552952e-01 2.155153e-02 2.155153e-02 1.000000 0.204064 0.533316
8.881478e-01 2.155153e-02 2.155153e-02 1.000000 0.848656 0.220706
1.034236e-02 2.155153e-02 2.155153e-02 1.000000 0.727253 0.100902
8.796098e-01 2.155153e-02 2.155153e-02 1.000000 0.143849 0.264529
8.787687e-01 2.155153e-02 2.155153e-02 1.000000 0.154497 0.918890
4.283385e-01 2.155153e-02 2.155153e-02 1.000000 0.598071 0.957550
7.283419e-01 2.155153e-02 2.155153e-02 1.000000 0.178468 0.713982
5.550463e-01 2.155153e-02 2.155153e-02 1.000000 0.670905 0.341288
5.465681e-01 2.155153e-02 2.155153e-02 1.000000 0.802629 0.501756
1.283313e-01 2.155153e-02 2.155153e-02 1.000000 0.149585 0.752143
8.790742e-01 2.155153e-02 2.155153e-02 1.000000 0.178556 0.785148
4.296629e-01 2.155153e-02 2.155153e-02 1.000000 0.574073 0.819275
5.316471e-01 2.155153e-02 2.155153e-02 1.000000 0.318998 0.193448
3.965582e-01 2.155153e-02 2.155153e-02 1.000000 0.666474 0.042182
4.264881e-01 2.155153e-02 2.155153e-02 1.000000 0.152045 0.924777
4.940451e-01 2.155153e-02 2.155153e-02 1.000000 0.604966 0.710508
7.240143e-01 2.155153e-02 2.155153e-02 1.000000 0.147289 0.445692
1.642999e-01 2.155153e-02 2.155153e-02 1.000000 0.578079 0.135954
5.823509e-01 2.155153e-02 2.155153e-02 1.000000 0.165342 0.451709
3.714886e-01 2.155153e-02 2.155153e-02 1.000000 0.967681 0.148150
1.716667e-01 2.155153e-02 2.155153e-02 1.000000 0.766342 0.089158
1.175784e-01 2.155153e-02 2.155153e-02 1.000000 0.393684 0.149171
7.258553e-01 2.155153e-02 2.155153e-02 1.000000 0.930990 0.731132
5.639323e-01 2.155153e-02 2.155153e-02 1.000000 0.769318 0.846405
2.350541e-01 2.155153e-02 2.155153e-02 1.000000 0.837412 0.765469
5.327314e-01 2.155153e-02 2.155153e-02 1.000000 0.394829 0.951561
6.420287e-01 2.155153e-02 2.155153e-02 1.000000 0.181625 0.035741
7.948726e-01 2.155153e-02 2.155153e-02 1.000000 0.557729 0.700462
7.957581e-01 2.155153e-02 2.155153e-02 1.000000 0.227007 0.997470
4.481815e-01 2.155153e-02 2.155153e-02 1.000000 0.909618 0.725916
3.501011e-01 2.155153e-02 2.155153e-02 1.000000 0.469905 0.307682
3.342442e-01 2.155153e-02 2.155153e-02 1.000000 0.565622 0.396930
2.157411e-01 2.155153e-02 2.155153e-02 1.000000 0.204746 0.425339
9.121987e-01 2.155153e-02 2.155153e-02 1.000000 0.410204 0.585078
4.565571e-01 2.155153e-02 2.155153e-02 1.000000 0.298397 0.607681
6.866646e-01 2.155153e-02 2.155153e-02 1.000000 0.610750 0.918573
1.336292e-01 2.155153e-02 2.155153e-02 1.000000 0.781747 0.942901
5.337525e-01 2.155153e-02 2.155153e-02 1.000000 0.461636 0.129300
9.421186e-02 2.155153e-02 2.155153e-02 1.000000 0.153102 0.956058
5.531682e-01 2.155153e-02 2.155153e-02 1.000000 0.624645 0.616243
4.470788e-01 2.155153e-02 2.155153e-02 1.000000 0.025775 0.699930
5.245992e-01 2.155153e-02 2.155153e-02 1.000000 0.383939 0.496930
3.964843e-01 2.155153e-02 2.155153e-02 1.000000 0.903807 0.898009
6.589077e-01 2.155153e-02 2.155153e-02 1.000000 0.012969 0.365895
